m49,VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
12,Geography and population,Population,Rural population,Algeria,2000,12498.847,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2001,12411.94,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2002,12317.847,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2003,12221.443,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2004,12127.441,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2005,12040.491,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2006,11959.903,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2007,11885.693,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2008,11818.949,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2009,11765.339,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2010,11723.941,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2011,11695.477,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2012,11677.502,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2013,11664.03,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2014,11647.651,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2015,11623.281,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2016,11589.537,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2017,11547.532,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2018,11498.038,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2019,11442.587,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2020,11382.345,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2021,11317.455,1000 inhab,X,false
12,Geography and population,Population,Rural population,Algeria,2022,11247.753,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2000,77.278,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2001,81.13,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2002,85.478,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2003,90.466,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2004,96.27,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2005,102.947,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2006,110.681,1000 inhab,X,false
48,Geography and population,Population,Rural population,Bahrain,2007,119.256,1000 inhab,X,false
